iter	Passed	Remaining
710	4089	1662
711	4093	1655
712	4099	1650
713	4104	1644
714	4113	1639
715	4118	1633
716	4123	1627
717	4128	1621
718	4134	1615
719	4139	1609
720	4144	1603
721	4149	1597
722	4154	1591
723	4159	1585
724	4165	1579
725	4170	1573
726	4176	1568
727	4181	1562
728	4187	1556
729	4193	1550
730	4198	1545
731	4204	1539
732	4209	1533
733	4215	1527
734	4221	1522
735	4227	1516
736	4232	1510
737	4238	1504
738	4243	1498
739	4249	1492
740	4255	1487
741	4260	1481
742	4267	1475
743	4273	1470
744	4278	1464
745	4284	1458
746	4290	1453
747	4296	1447
748	4302	1441
749	4308	1436
750	4314	1430
751	4320	1424
752	4325	1418
753	4331	1413
754	4337	1407
755	4343	1401
756	4348	1395
757	4354	1390
758	4359	1384
759	4364	1378
760	4371	1372
761	4377	1367
762	4382	1361
763	4387	1355
764	4392	1349
765	4398	1343
766	4403	1337
767	4408	1331
768	4413	1325
769	4419	1320
770	4424	1314
771	4430	1308
772	4435	1302
773	4440	1296
774	4446	1290
775	4451	1284
776	4456	1279
777	4461	1273
778	4466	1267
779	4472	1261
780	4478	1255
781	4482	1249
782	4487	1243
783	4493	1237
784	4498	1232
785	4503	1226
786	4508	1220
787	4514	1214
788	4521	1209
789	4526	1203
790	4532	1197
791	4539	1192
792	4544	1186
793	4550	1180
794	4556	1175
795	4562	1169
796	4567	1163
797	4572	1157
798	4578	1151
799	4583	1145
800	4588	1140
801	4594	1134
802	4599	1128
803	4604	1122
804	4610	1116
805	4616	1111
806	4621	1105
807	4627	1099
808	4632	1093
809	4637	1087
810	4642	1081
811	4648	1076
812	4653	1070
813	4658	1064
814	4663	1058
815	4669	1052
816	4674	1047
817	4680	1041
818	4685	1035
819	4690	1029
820	4695	1023
821	4701	1018
822	4706	1012
823	4711	1006
824	4717	1000
825	4722	994
826	4727	988
827	4732	983
828	4738	977
829	4743	971
830	4748	965
831	4753	959
832	4759	954
833	4764	948
834	4769	942
835	4774	936
836	4779	930
837	4784	924
838	4789	919
839	4795	913
840	4800	907
841	4805	901
842	4811	896
843	4816	890
844	4821	884
845	4827	878
846	4832	872
847	4837	867
848	4842	861
849	4847	855
850	4852	849
851	4856	843
852	4861	837
853	4866	831
854	4870	826
855	4875	820
856	4880	814
857	4885	808
858	4890	802
859	4895	796
860	4900	791
861	4905	785
862	4911	779
863	4916	773
864	4921	768
865	4927	762
866	4933	756
867	4938	751
868	4944	745
869	4949	739
870	4954	733
871	4960	728
872	4966	722
873	4972	716
874	4978	711
875	4983	705
876	4989	699
877	4995	694
878	5000	688
879	5006	682
880	5012	677
881	5018	671
882	5023	665
883	5029	659
884	5035	654
885	5041	648
886	5047	643
887	5053	637
888	5059	631
889	5065	626
890	5070	620
891	5076	614
892	5081	608
893	5086	603
894	5092	597
895	5097	591
896	5102	585
897	5108	580
898	5114	574
899	5120	568
900	5125	563
901	5130	557
902	5136	551
903	5141	546
904	5147	540
905	5152	534
906	5158	528
907	5163	523
